# ----------------------------------------
# Firebase overview
# Account: Default Account for Firebase
# Property: soccer-prod-1754048346
# ----------------------------------------
# How are active users trending?
# Start date: 20251109
# End date: 20251206
Nth day,30 days,7 days,1 day
0014,0.01373
0015,0
0016,0.0042
0017,0
0018,0.005796
0019,0
0020,0.006358
0021,0
0022,0.000568
0023,0
0024,0
0025,0
0026,0
0027,0.000744

# Start date: 20251109
# End date: 20251206
Nth day,Purchase revenue
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0

# Start date: 20251109
# End date: 20251206
Nth day,Total ad revenue
0000,0.040904
0001,0.003928
0002,0
0003,0.004982
0004,0.018742
0005,0
0006,0.001728
0007,0.003257
0008,0.001104
0009,0.001468
0010,0.006034
0011,0.003478
0012,0
0013,0.005338
0014,0.01373
0015,0
0016,0.0042
0017,0
0018,0.005796
0019,0
0020,0.006358
0021,0
0022,0.000568
0023,0
0024,0
0025,0
0026,0
0027,0.000744

#  
# Start date: 20251109
# End date: 20251206
Nth day,Average purchase revenue per active user


#  
# Start date: 20251109
# End date: 20251206
Country ID,Active users
AR,12
AU,1
BD,11
BO,3
BR,5
CA,1
CI,1
CM,1
CO,1
CU,1
DE,2
DO,2
EC,1
EG,4
ES,3
FR,1
GN,1
ID,3
IN,20
KE,2
KH,3
KW,1
KZ,1
LA,4
LB,1
MG,1
MM,1
MX,1
NG,3
NP,9
PE,1
PH,2
PK,8
PL,3
PT,1
SA,1
SK,1
SV,1
TR,1
US,8
VE,2
ZA,1
ZW,3

# Start date: 20251109
# End date: 20251206
Country,Active users
IN,20
AR,12
BD,11
NP,9
PK,8
US,8
BR,5

#  
# Start date: 20251109
# End date: 20251206
Device model,Active users
2201117TL,2
24117RN76G,2
KJ5,2
RMX1911,2
RMX3939,2
SM-A155M,2
SM-A546E,2
V2027,2
X6531,2
1904,1
2.2,1
2201117SI,1
220333QAG,1
220733SI,1
22101316G,1
23028RN4DI,1
23108RN04Y,1
23117RA68G,1
23129RA5FL,1
2312DRA50G,1
24090RA29I,1
2409BRN2CA,1
2409BRN2CY,1
24108PCE2I,1
24117RN76L,1
8030,1
8050,1
A661L,1
A667LP,1
ALI-NX1,1
ALT-LX2,1
BD4j,1
BE2029,1
Blade L210,1
CK6,1
CPH1933,1
CPH2145,1
CPH2421,1
CPH2727,1
Edge 50 Neo,1
GM1901,1
INE-LX1r,1
KE5,1
KG5j,1
KG5k,1
KL8,1
M2103K19G,1
MAR-LX2,1
Mi 9 Lite,1
Moto E30,1
Moto G24,1
Moto G42,1
P661N,1
RMX2030,1
RMX2040,1
RMX3261,1
RMX3511,1
RMX3782,1
RMX3834,1
S22 Flip,1
S661LP,1
SM-A022F,1
SM-A035F,1
SM-A105M,1
SM-A127F,1
SM-A135F,1
SM-A145R,1
SM-A146M,1
SM-A146P,1
SM-A146U1,1
SM-A156E,1
SM-A336M,1
SM-A346M,1
SM-A356E,1
SM-A556E,1
SM-A566B,1
SM-E055F,1
SM-E146B,1
SM-G998B,1
SM-G998N,1
SM-J415F,1
SM-M115F,1
SM-M145F,1
SM-M146B,1
SM-M205F,1
SM-M215F,1
SM-P620,1
SM-S921B,1
SM-S928B,1
SM-T295,1
SM-X110,1
SM-X210,1
T612B,1
V2120,1
V2135,1
V2205,1
V2310,1
V2332,1
V2427,1
WOD-LX3,1
X6515,1
X6528,1
X657B,1
X669,1
X6725,1
X6817,1
XIG03,1
XQ-BQ52,1
XT-2343-1,1
XT2335-2,1
Z3 UP,1
moto g(60)s,1
